layer,index,active_frequency,mean_activation,max_activation,outgoing_abs_sum,activation_score
H1,78,0.6051454823889739,0.09678049385547638,1.6958011388778687,25.822341918945312,2.499099016189575
H1,79,0.29332749945307374,0.03502674028277397,0.7836155295372009,37.65709686279297,1.3190053701400757
H1,80,0.0012163640341281996,2.7955748009844683e-05,0.08984845876693726,293.7004089355469,0.008210614323616028
H1,81,0.9179960621308247,0.25408393144607544,1.449973225593567,32.565773010253906,8.274439811706543
H1,82,0.9807656967840735,0.27926596999168396,1.0959945917129517,8.801225662231445,2.457882881164551
H1,83,0.7232903084664187,0.10047296434640884,0.7451940774917603,33.41511154174805,3.3573153018951416
H1,84,0.7391292933712535,0.10972186923027039,0.9652643799781799,31.97616195678711,3.508484363555908
H1,85,0.6869043972872457,0.13397595286369324,0.9698147773742676,48.82649612426758,6.541576385498047
H1,86,0.4102034565740538,0.04614902287721634,1.1661012172698975,63.57635498046875,2.9339866638183594
H1,87,0.8814438853642529,0.20581308007240295,1.558006763458252,14.423759460449219,2.9685983657836914
H1,88,0.9123692846204332,0.21366913616657257,1.1673917770385742,18.613269805908203,3.977081298828125
H1,89,0.7479238678626121,0.22814248502254486,0.8987895846366882,14.500773429870605,3.3082425594329834
H1,90,0.9982585867425071,0.3232215940952301,1.1243693828582764,9.288186073303223,3.0021421909332275
H1,91,0.7514854517611026,0.23613058030605316,0.9702000617980957,15.072916984558105,3.5591766834259033
H1,92,0.03227302559614964,0.0035257425624877214,1.1478222608566284,99.59136962890625,0.3511335253715515
H1,93,0.7682782760883833,0.13731323182582855,1.3060307502746582,24.84223747253418,3.411167860031128
H1,94,0.6202056442791511,0.07834424823522568,0.8946126699447632,24.30782127380371,1.9043779373168945
H1,95,0.250781010719755,0.027387822046875954,0.508730947971344,74.09239196777344,2.029229164123535
H1,96,0.13968059505578648,0.012352108024060726,0.8417204022407532,46.681156158447266,0.5766106843948364
H1,97,0.24879457449135856,0.022086551412940025,0.43718981742858887,60.09214401245117,1.3272281885147095
H1,98,0.9583898490483482,0.14775313436985016,0.3866049349308014,12.712435722351074,1.8783022165298462
H1,99,0.6418814263837235,0.1004946157336235,0.638397753238678,27.209877014160156,2.7344460487365723
H1,100,0.24704441041347627,0.025141548365354538,0.6130117774009705,31.965360641479492,0.803658664226532
H1,101,0.04781448260774448,0.005970383994281292,0.6566416621208191,68.23541259765625,0.40739160776138306
H1,102,1.0,1.197158694267273,2.831474542617798,10.212244033813477,12.225676536560059
H1,103,0.5134018814263838,0.10846664011478424,0.5947397947311401,42.618507385253906,4.622686386108398
H1,104,0.8404550426602494,0.17497175931930542,0.9703443646430969,10.483288764953613,1.8342795372009277
H1,105,0.949962809013345,0.25332728028297424,1.134932041168213,20.527795791625977,5.200250625610352
H1,106,0.9259068037628527,0.24776364862918854,1.0570790767669678,25.291292190551758,6.266263008117676
H1,107,0.5080988842704004,0.0972333624958992,1.484789490699768,30.58949851989746,2.9743196964263916
H1,108,0.5613301246991905,0.09737700968980789,0.9822788238525391,35.09642028808594,3.4175844192504883
H1,109,0.6453817545394881,0.0882306918501854,1.013454794883728,38.3010139465332,3.3793249130249023
H1,110,0.4145701159483702,0.04972260072827339,0.9255114793777466,62.39505386352539,3.1024444103240967
H1,111,0.4070531612338657,0.02453330159187317,0.8816023468971252,27.427906036376953,0.6728971004486084
H1,112,0.729398381098228,0.2656756341457367,1.4110411405563354,20.81938934326172,5.531204700469971
H1,113,0.7447298184204769,0.24498142302036285,0.9531077742576599,12.316043853759766,3.0172019004821777
H1,114,0.7825771166046817,0.2870837450027466,1.9298113584518433,32.9936637878418,9.471944808959961
H1,115,0.8460905709910304,0.08129491657018661,0.44754335284233093,21.268911361694336,1.72905433177948
H1,116,0.714110697877926,0.2054000049829483,1.5105953216552734,15.547234535217285,3.193402051925659
H1,117,0.46164077882301463,0.04368320479989052,0.641001284122467,52.956546783447266,2.3133115768432617
H1,118,0.6038153576897834,0.12370460480451584,2.178518056869507,55.9614143371582,6.922684669494629
H1,119,0.043579085539269306,0.002195218112319708,0.4425697922706604,66.33067321777344,0.14561030268669128
H1,120,0.8779085539269307,0.31636300683021545,1.0020233392715454,11.250503540039062,3.5592432022094727
H1,121,0.8665237366003062,0.22176672518253326,1.366734266281128,27.882524490356445,6.183416366577148
H1,122,0.282275213301247,0.0374942310154438,0.9453190565109253,30.859704971313477,1.1570608615875244
H1,123,0.08227521330124699,0.007748585660010576,0.9647358655929565,57.44773483276367,0.44513869285583496
H1,124,0.3044585429884052,0.027224671095609665,0.48789942264556885,52.98237991333008,1.4424278736114502
H1,125,0.7361540144388536,0.15831324458122253,1.562206506729126,20.22787094116211,3.2023398876190186
H1,126,0.7665018595493327,0.1399509459733963,1.447187900543213,25.759614944458008,3.6050825119018555
H1,127,0.39120542550864146,0.07025782763957977,0.7313090562820435,28.131662368774414,1.9764695167541504
H2,0,1.0,4.124638080596924,11.482348442077637,1.5967603921890259,6.586058616638184
H2,1,0.746007438197331,1.2836343050003052,6.822844982147217,2.7780513763427734,3.566002130508423
H2,2,0.8370247210676001,0.6247511506080627,4.1594977378845215,5.8446760177612305,3.65146803855896
H2,3,0.8051192299278057,0.607287585735321,4.23592472076416,3.1262950897216797,1.8985601663589478
H2,4,0.36090133450010936,0.11943566799163818,3.990520715713501,4.135406494140625,0.49391505122184753
H2,5,0.0,0.0,0.0,0.010260622017085552,0.0
H2,6,0.842572741194487,0.4176786541938782,2.2405264377593994,3.387507677078247,1.4148896932601929
H2,7,0.8255873988186393,0.2379300892353058,3.0711827278137207,5.536829471588135,1.317378282546997
H2,8,0.0,0.0,0.0,0.03973029553890228,0.0
H2,9,0.9952570553489389,2.338183641433716,6.876288414001465,3.6938841342926025,8.636979103088379
H2,10,0.807018157952308,0.40084582567214966,3.9612066745758057,5.013588905334473,2.009676218032837
